К какому фундаментальному классу методов обучения с подкреплением относится алгоритм DQN?,Value-based методы (основанные на оценке функции ценности).
Что именно аппроксимирует нейронная сеть в алгоритме DQN?,"Оптимальную $Q$-функцию ценности действия $Q^{*}(s, a)$."
Каков основной недостаток классического DQN в контексте типов пространств действий?,Он эффективно работает только в дискретных пространствах действий.
С какой целью в DQN используется механизм Experience Replay (буфер воспроизведения опыта)?,Для устранения корреляции между последовательными обучающими примерами и повторного использования опыта.
Какую проблему решает использование Target Network (целевой сети) в DQN?,"Нестабильность обучения, вызванную одновременным изменением весов и целевых значений (Moving Target)."
Как часто обычно обновляются веса Target Network по сравнению с основной сетью в DQN?,"Значительно реже, через фиксированное количество итераций или с помощью мягкого обновления."
На каком уравнении базируется процесс минимизации ошибки в алгоритме DQN?,Уравнение оптимальности Беллмана.
Является ли DQN алгоритмом on-policy или off-policy?,"Off-policy алгоритмом, так как он может обучаться на данных, собранных старыми версиями стратегии."
В чем заключается концепция Policy Gradient (градиента стратегии)?,В прямой оптимизации параметров стратегии $\theta$ для максимизации ожидаемого вознаграждения.
Что является выходом нейронной сети в алгоритмах класса Policy Gradient?,Распределение вероятностей выбора действий $\pi(a|s)$.
К какому типу алгоритмов градиента стратегии относится REINFORCE?,Метод Монте-Карло (Monte Carlo Policy Gradient).
Какой главный недостаток алгоритма REINFORCE замедляет его сходимость?,Высокая дисперсия оценок градиента.
Когда происходит обновление весов в алгоритме REINFORCE?,Только после завершения целого эпизода (полной траектории).
Какую роль выполняет Actor (Актер) в архитектуре Actor-Critic?,Отвечает за выбор действий и обновление текущей стратегии $\pi(a|s)$.
За что отвечает компонент Critic (Критик) в архитектуре Actor-Critic?,"Оценивает выбранные действия, вычисляя функцию ценности $V(s)$ или $Q(s, a)$."
"Как определяется функция преимущества (Advantage function) $A(s, a)$?","Разность между ценностью конкретного действия и средней ценностью состояния: $Q(s, a) - V(s)$."
Что означает буква 'A' в аббревиатуре A2C?,Advantage (преимущество).
В чем заключается отличие A2C (Advantage Actor-Critic) от A3C?,"A2C является синхронным вариантом, где обновления от разных агентов усредняются перед применением."
Каким образом использование функции преимущества в A2C влияет на обучение?,"Оно снижает дисперсию градиента, делая обучение более стабильным по сравнению с REINFORCE."
С какой целью в функцию потерь A2C добавляется энтропийный член (entropy bonus)?,Для стимулирования исследования (exploration) и предотвращения преждевременной сходимости к детерминированной стратегии.
Какую проблему методов градиента стратегии призван решить алгоритм PPO?,Чувствительность к размеру шага и риск катастрофического падения производительности при слишком больших обновлениях.
Что представляет собой Clipped Surrogate Objective в алгоритме PPO?,"Функция потерь, ограничивающая изменение стратегии с помощью операции отсечения (clip)."
Как в PPO определяется отношение вероятностей $r_t(\theta)$?,Как отношение вероятности действия при новой стратегии к его вероятности при старой стратегии.
В какой диапазон обычно ограничивается отношение $r_t(\theta)$ в PPO при $\epsilon = 0.2$?,В диапазон от $0.8$ до $1.2$.
"Почему PPO считается более практичным, чем его предшественник TRPO?",PPO проще в реализации и требует меньше вычислительных мощностей при схожей стабильности.
Является ли PPO on-policy или off-policy алгоритмом?,"On-policy алгоритмом, так как он оптимизирует ту же стратегию, которая собирает данные (с учетом небольших отклонений)."
Как эволюция от DQN к Actor-Critic изменила подход к оценке действий?,Произошел переход от оценки только ценности действий к совместному обучению стратегии и ее критика.
В каких типах задач (дискретных или непрерывных) предпочтительнее использовать PPO вместо DQN?,В задачах с непрерывным пространством действий.
Что такое бутстрапинг (bootstrapping) в контексте RL алгоритмов типа A2C?,Использование текущей оценки функции ценности для обновления самой себя на основе будущих состояний.
Какая функция ошибки обычно используется для обучения Критика в Actor-Critic методах?,Среднеквадратичная ошибка (MSE) между предсказанной ценностью и целевым значением (TD-target).
Как изменился метод исследования (exploration) при переходе от DQN к PPO?,От $\epsilon$-greedy стратегии перешли к стохастическим стратегиям с внутренним шумом или энтропией.
Почему PPO устойчив к 'плохим' обновлениям градиента?,Механизм клиппинга не позволяет градиенту уводить стратегию слишком далеко за одну итерацию.
В чем заключается 'суррогатность' целевой функции в PPO?,Она аппроксимирует истинную функцию выигрыша в локальной окрестности текущей стратегии.
Какое ключевое преимущество параллелизации в A2C/A3C?,"Сбор более разнообразного опыта за единицу времени, что стабилизирует градиент."
Что является основным драйвером эволюции алгоритмов от DQN к PPO?,"Поиск баланса между стабильностью обучения, эффективностью использования данных и поддержкой непрерывных действий."
В чем основное различие между 'Vanilla' Policy Gradient и Actor-Critic?,"В наличии обучаемого Критика, заменяющего полную накопленную награду эпизода локальной оценкой."
Для чего в PPO используется механизм Importance Sampling (выборка по значимости)?,"Для оценки ожидаемого вознаграждения новой стратегии на основе данных, собранных чуть более старой стратегией."
Как формулируется задача обучения в RL дереве алгоритмов для DQN?,Минимизация временной разности (TD-error) для $Q$-значений.
Почему в DQN нельзя напрямую использовать градиентный спуск для поиска максимума $Q$?,"Потому что $Q$-функция дискретна по действиям, а не дифференцируема по ним."
Какова иерархическая последовательность усложнения алгоритмов в дорожной карте RL?,DQN (Value) $\rightarrow$ REINFORCE (Policy) $\rightarrow$ A2C (Hybrid) $\rightarrow$ PPO (Stable Hybrid).
"Как PPO обрабатывает ситуацию, когда преимущество $A(s, a)$ отрицательно, а действие стало намного вероятнее?","Алгоритм применяет клиппинг, чтобы резко ограничить обновление, которое ухудшает стратегию."
Какая архитектурная особенность позволяет A2C эффективно использовать GPU?,"Синхронная природа обновлений, позволяющая обрабатывать пакеты данных от всех агентов одновременно."
Что происходит с дисперсией в методах Actor-Critic по сравнению с REINFORCE?,"Она существенно снижается за счет использования смещенной, но менее шумной оценки Критика."
В каком случае отношение $r_t(\theta)$ в PPO равно единице?,Когда параметры новой стратегии $\theta$ совпадают с параметрами старой стратегии $\theta_{old}$.
Какой из алгоритмов — DQN или PPO — более чувствителен к корреляции в данных?,"DQN, именно поэтому для него критически важен буфер Experience Replay."
